System name,Input values,Output values,Diagnoses with prob
74182,"[1, 1, 0, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 1]","['gate67', 0.519]"
74182,"[1, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 1]","['gate67', 'gate58', 'gate53', 0.425]"
74182,"[0, 1, 0, 1, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate53', 0.316]"
74182,"[1, 1, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 1, 0]","['gate70', 'gate63', 'gate53', 0.368]"
74182,"[1, 1, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 1, 0, 0]","['gate53', 0.534]"
74182,"[1, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1]","['gate58', 0.525]"
74182,"[0, 1, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 0]","['gate67', 'gate63', 0.449]"
74182,"[1, 1, 1, 0, 0, 1, 0, 0, 0]","[0, 1, 1, 1, 0]","['gate70', 'gate53', 0.429]"
74182,"[1, 1, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 1]","['gate70', 'gate63', 0.362]"
74182,"[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate58', 0.291]"
